Zip,Population Density
76574,132
78634,625
76578,28
78574,1080
78572,1367
78626,415
78610,461
78747,974
78619,130
78620,123
78640,745
78759,3240
78612,158
78617,416
78602,158
78616,65
78724,1149
79530,11
78613,2953
77423,104
78719,114
78653,252
78741,7070
78737,510
78736,395
76820,2
78738,642
78621,140
78615,30
78749,3987
78628,526
78681,2222
78642,136
78641,758
78633,401
76577,24
78665,2233
78645,328
78605,39
78664,3757
78643,10
78652,535
78748,4050
78744,2524
78750,2223
78734,1141
78754,1639
78660,2391
78753,5254
78705,15694
78725,738
78654,99
78564,4
77447,174
78727,3603
78669,83
78569,31
78717,2217
78704,6216
78946,10
78701,6905
78712,13483
78732,1478
78726,1002
78746,1234
78745,4697
78721,3034
78702,5679
78722,4851
78703,4514
78731,2878
78729,3919
78751,6704
78723,4906
78758,5904
78730,623
78728,3528
75227,5151
78733,783
78735,1135
78739,1734
76401,76
78644,112
78756,4931
78752,6154
78757,4669
